"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"DM DAMANDO";"Tenis Masculino Confortavel/academia/crossfit + Relógio";77.0;90.0;74.0;90.0;4.5;4857;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";77.9;74.9
"";"Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta";0.0;0.0;144.0;0.0;4.4;3114;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;144.0
"";"Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top";169.0;90.0;152.0;90.0;4.6;1713;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";169.9;152.9
"FILA";"Tênis Fila Kenya Racer Kr6 Alta Performance Masculino";599.0;99.0;365.0;99.0;5.0;3;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";599.99;365.99
"";"Tenis Esporte Academia Corrida Caminhada Confortável Leve";0.0;0.0;69.0;0.0;4.5;427;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;69.0
"ADIDAS";"Tênis Grand Court Base 2.0 Feminino E Masculino adidas ";349.0;99.0;243.0;99.0;4.8;396;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";349.99;243.99
"";"Tênis Esportivo It Shoes Amortecedor Gel Masculino";0.0;0.0;78.0;0.0;4.6;586;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;78.0
"";"Tênis Masculino Academia Caminhada Corrida Training Bylbow";78.0;90.0;67.0;90.0;4.6;3121;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";78.9;67.9
"RAINHA";"Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida";0.0;0.0;78.0;0.0;4.6;809;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;78.0
"";"Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort";0.0;0.0;53.0;0.0;4.6;458;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;53.0
"FILA";"Fila KR6 Masculino Adultos";599.0;90.0;357.0;90.0;4.7;195;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";599.9;357.9
